AGENCY,PROGRAM_MODEL,CITY,STATE,WARD
Board of Education City of Chicago,Head Start,Chicago,IL,22
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Head Start,Chicago,IL,10
Chicago Youth Centers,Head Start,Chicago,IL,18
Board of Education City of Chicago,Head Start,Chicago,IL,17
Board of Education City of Chicago,Head Start,Chicago,IL,1
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,37
El Valor Corporation,Head Start,Chicago,IL,12
Centers for New Horizons,Head Start,Chicago,IL,8
Chicago Commons Association,Early Head Start – Child Care Partnership,Chicago,IL,49
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,6
Metropolitan Family Services,Child Care Only,Chicago,IL,30
Carole Robertson Center for Learning,Head Start,Chicago,IL,13
Sarah's Inn,Court House Domestic Violence,Chicago,IL,25
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,1
"Judah International Outreach Ministries, Inc.",Head Start,Chicago,IL,37
McDermott Center dba Haymarket Center,Clinical Services,Chicago,IL,27
Chicago Youth Centers,Head Start,Chicago,IL,26
El Valor Corporation,Head Start,Chicago,IL,34
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,12
Breakthrough Urban Ministries,Interim Housing,Chicago,IL,28
El Hogar del Nino,Child Care Only,Chicago,IL,13
Onward Neighborhood House,Head Start,Chicago,IL,37
North Avenue Day Nursery,Early Head Start – Child Care Partnership,Chicago,IL,27
Board of Education City of Chicago,Head Start,Chicago,IL,21
Featherfist,Interim Housing,Chicago,IL,7
Carole Robertson Center for Learning,Head Start,Chicago,IL,29
Teen Living Programs,Project Based Transitional Housing,Chicago,IL,3
Chicago Youth Centers,Head Start,Chicago,IL,24
Board of Education City of Chicago,Head Start,Chicago,IL,15
Christopher House,Early Learning for Immigrant Families,Chicago,IL,2
A Safe Haven Foundation,Industry-Specific Training and Placement Program,Chicago,IL,28
Y M C A of Metropolitan Chicago,Early Head Start – Child Care Partnership,Chicago,IL,37
La Casa Norte,Homeless Youth Overnight Shelter: Low-Threshold,Chicago,IL,26
Henry Booth House,Head Start,Chicago,IL,10
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,16
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,47
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,24
Gads Hill Center,Early Head Start – Child Care Partnership,Chicago,IL,17
"Albany Park Community Center, Incorporated",Head Start,Chicago,IL,39
Casa Central Social Services Corporation,Senior Community Service Employment Program (SCSEP),Chicago,IL,26
LAF,Public Benefits Outreach and Enrollment,Chicago,IL,10
Board of Trustees of the University of Illinois,Early Childhood/Family Initiative,Chicago,IL,3
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,29
Chicago Commons Association,Head Start,Chicago,IL,26
Board of Education City of Chicago,Head Start,Chicago,IL,14
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,34
Board of Education City of Chicago,Head Start,Chicago,IL,9
Thresholds,Specialized Outreach and Engagement Services,Chicago,IL,47
Gads Hill Center,Early Head Start – Child Care Partnership,Chicago,IL,16
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,16
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,27
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,20
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,21
Gads Hill Center,Head Start,Chicago,IL,17
San Jose Obrero Mission,Interim Housing,Chicago,IL,12
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,32
Chicago Youth Centers,Head Start,Chicago,IL,6
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,24
El Valor Corporation,Head Start,Chicago,IL,14
"Trinity United Church of Christ Child Care Centers, Incorporated",Early Head Start – RTL,Chicago,IL,21
Housing Opportunities for Women,Shelter Plus Care,Chicago,IL,49
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Early Head Start – Child Care Partnership,Chicago,IL,10
Columbia College Chicago,Head Start Support Services,Chicago,IL,42
Carole Robertson Center for Learning,Head Start,Chicago,IL,17
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,11
Board of Education City of Chicago,Head Start,Chicago,IL,16
Chicago Child Care Society,Early Head Start,Chicago,IL,5
Chicago Commons Association,Child Care Only,Chicago,IL,27
"Ada S. McKinley Community Services, Inc.",Early Head Start,Chicago,IL,18
Chinese American Service League,Early Head Start – Child Care Partnership,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,3
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,13
Teen Living Programs,Scattered Site Transitional,Chicago,IL,3
Board of Education City of Chicago,Head Start,Chicago,IL,25
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,9
Mary Crane League,Head Start,Chicago,IL,37
Chicago Youth Centers,Early Head Start – Child Care Partnership,Chicago,IL,6
El Hogar del Nino,Head Start,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,12
The Night Ministry,Youth Outreach Program,Chicago,IL,44
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,20
Henry Booth House,Head Start,Chicago,IL,6
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
Illinois Student Transportation,Head Start Support Services,Chicago,IL,37
Mercy Housing Lakefront,Shelter Plus Care,Chicago,IL,42
Polish American Association,Counseling and Case Management Services,Chicago,IL,45
Firman Community Services,Child Care Only,Chicago,IL,3
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,17
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,24
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,25
North Avenue Day Nursery,Early Head Start,Chicago,IL,40
Center for Housing and Health,Permanent Supportive Housing,Chicago,IL,42
Franciscan Outreach Assoc,Emergency Shelter,Chicago,IL,28
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,23
Board of Education City of Chicago,Head Start,Chicago,IL,6
St. Leonard's Ministries,Interim Housing,Chicago,IL,27
Chicago Youth Centers,Head Start,Chicago,IL,6
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,37
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,3
Gads Hill Center,Head Start,Chicago,IL,28
Erikson Institute,Early Head Start Support Services,Chicago,IL,42
Y M C A of Metropolitan Chicago,Early Head Start – Child Care Partnership,Chicago,IL,24
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,20
Holy Rock Outreach Ministries,Interim Housing,Chicago,IL,16
Human Resources Development Institute,Shelter Plus Care,Chicago,IL,42
"SL Midway, LLC",Congregate Dining,Chicago,IL,13
Henry Booth House,Head Start,Chicago,IL,4
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,28
St Augustine College,Head Start Support Services,Chicago,IL,47
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,10
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,4
The Salvation Army,Head Start,Chicago,IL,6
Greater West Town,Employment Preparation and Placement Program,Chicago,IL,27
North Avenue Day Nursery,Child Care Only,Chicago,IL,1
Domestic Violence Legal Clinic,Legal Services for Victims of Domestic Violence,Chicago,IL,25
Henry Booth House,Head Start,Chicago,IL,7
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,21
St. Vincent de Paul Center,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,43
Heartland Health Outreach,Shelter Plus Care,Chicago,IL,46
"Unity Parenting and Counseling, Inc.",Low Threshold Youth Overnight Shelter,Chicago,IL,6
Board of Education City of Chicago,Head Start,Chicago,IL,35
Board of Education City of Chicago,Head Start,Chicago,IL,6
Alternatives Inc.,RISE,Chicago,IL,46
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Chicago,IL,4
Board of Education City of Chicago,Head Start,Chicago,IL,5
Carole Robertson Center for Learning,Early Head Start – Child Care Partnership,Chicago,IL,24
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,37
Board of Education City of Chicago,Head Start,Chicago,IL,27
Phalanx Family Services,Senior Community Service Employment Program (SCSEP),Chicago,IL,34
Board of Education City of Chicago,Head Start,Chicago,IL,22
Center on Halsted,Industry-Specific Training and Placement Program,Chicago,IL,44
Board Trustees Community College,Head Start,Chicago,IL,46
Chicago Youth Centers,Head Start,Chicago,IL,26
Catholic Charities of the Archdiocese of Chicago,Mobile Outreach Human Services,Chicago,IL,28
Henry Booth House,Head Start,Chicago,IL,16
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,15
Mary Crane League,Head Start,Chicago,IL,17
El Valor Corporation,Head Start,Chicago,IL,12
Y M C A of Metropolitan Chicago,Child Care Only,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,24
Board of Education City of Chicago,Head Start,Chicago,IL,36
Chicago Commons Association,Head Start,Chicago,IL,25
Centers for New Horizons,Early Childhood/Family Initiative,Chicago,IL,3
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – RTL,Chicago,IL,9
Lutheran Social Services of Illinois,Head Start,Chicago,IL,40
Teen Living Programs,Youth Outreach Program,Chicago,IL,3
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,18
Board of Education City of Chicago,Head Start,Chicago,IL,35
Henry Booth House,Head Start,Chicago,IL,6
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,9
El Hogar del Nino,Early Head Start – RTL,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,4
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,1
Chicago Women in Trades,Industry-Specific Training and Placement Program,Chicago,IL,28
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,38
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start,Chicago,IL,9
Metropolitan Family Services,Resource and Information Management,Chicago,IL,25
Northwestern University Settlement Association,Head Start,Chicago,IL,2
Carole Robertson Center for Learning,Head Start,Chicago,IL,6
"North Side Housing & Supportive Services, Inc.",Shelter Plus Care,Chicago,IL,44
"SGA Youth & Family Services, NFP",Head Start Support Services,Chicago,IL,3
Between Friends,Legal Advocacy and Case Management,Chicago,IL,49
La Casa Norte,Low Threshold Youth Overnight Shelter,Chicago,IL,12
A Safe Haven Foundation,Interim Housing,Chicago,IL,18
Mary Crane League,Early Head Start,Chicago,IL,31
Catholic Charities of the Archdiocese of Chicago,Head Start,Chicago,IL,24
The Salvation Army,Head Start,Chicago,IL,16
Mary Crane League,Early Head Start – RTL,Chicago,IL,9
Henry Booth House,Head Start,Chicago,IL,21
El Valor Corporation,Early Head Start – RTL,Chicago,IL,25
Deborah's Place,Permanent Supportive Housing,Chicago,IL,32
Centers for New Horizons,Head Start,Chicago,IL,37
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,16
Board of Education City of Chicago,Head Start,Chicago,IL,13
Community Assistance Programs,Transitional Jobs Program,Chicago,IL,9
H.O.M.E.,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,27
Back of the Yards Neighborhood Council,Summer Youth Employment Program,Chicago,IL,15
Christopher House,One Summer Chicago +PLUS Program,Chicago,IL,1
Centers for New Horizons,Summer Youth Employment Program,Chicago,IL,3
R.B.C. Community Service Center,Out of School Time Programming - Year Round,Chicago,IL,20
Options For Youth,Summer Youth Employment Program,Chicago,IL,4
Institute for Latino Progress DBA Instituto Del Progreso Latino,Employment Preparation and Placement Program,Chicago,IL,25
Brighton Park Neighborhood Council,Summer Youth Employment Program,Chicago,IL,15
Girls of Grace Youth Organization dba Girls of Grace Youth Center,Out of School Time Programming - Summer Only,Chicago,IL,21
Chicago Lawndale Amachi Mentoring Program,Mentoring,Chicago,IL,24
Love to Serve,Out of School Time Programming - Summer Only,Chicago,IL,34
The Catholic Bishop of Chicago - St. Pius V,Out of School Time Programming - Year Round,Chicago,IL,25
Y M C A of Metropolitan Chicago,Out of School Time Programming - School Year Only,Chicago,IL,45
Local Initiative Support Corporation (LISC),Employment Preparation and Placement Program,Chicago,IL,47
Chicago Urban League,RISE,Chicago,IL,3
"Prologue, Inc.",Greencorps Program,Chicago,IL,27
St. Joseph Services,Out of School Time Programming - School Year Only,Chicago,IL,29
K.L.E.O. Community Family Life Center,Summer Youth Employment Program,Chicago,IL,20
Metropolitan Family Services,Employment Preparation and Placement Program,Chicago,IL,20
Alternatives Inc.,Summer Youth Employment Program,Chicago,IL,46
"Community Help Center, Inc. dba Muslim Women Resource Center",Out of School Time Programming - Summer Only,Chicago,IL,50
ElevArte Community Studio,Summer Youth Employment Program,Chicago,IL,25
Heartland Human Care Services Inc,Greencorps Program,Chicago,IL,42
Hyde Park Neighborhood Club,Mentoring,Chicago,IL,4
"826CHI,Inc.,NFP",Out of School Time Programming - School Year Only,Chicago,IL,1
Safer Foundation,Neighborhood Clean-up,Chicago,IL,42
"The Urban Alliance Foundation, Inc.",Summer Youth Employment Program,Chicago,IL,42
Vietnamese Association of Illinois,CHA After School Program,Chicago,IL,47
Lutheran Child & Family Services of Illinois,Intensive Case Advocacy and Support For At-Risk Seniors,River Forest,IL,
The Salvation Army,Transitional Jobs Program,Chicago,IL,28
Skills for Chicagoland's Future,Employment Preparation and Placement Program,Chicago,IL,42
"SGA Youth & Family Services, NFP",One Summer Chicago +PLUS Program,Chicago,IL,42
Alternatives Inc.,Greencorps Program,Chicago,IL,46
New Moms Inc,Transitional Jobs Program,Chicago,IL,28
Human Resources Development Institute,Summer Youth Employment Program,Chicago,IL,42
Changing Life Education Initiative,One Summer Chicago +PLUS Program,Chicago,IL,6
Chicago Youth Centers,Out of School Time Programming - School Year Only,Chicago,IL,24
Institute for Positive Living,Youth Working for Success,Chicago,IL,4
Family Cares (AFC) Mission,Out of School Time Programming - Summer Only,Chicago,IL,17
Impact Family Center,Out of School Time Programming - Summer Only,Chicago,IL,34
Phalanx Family Services,Industry-Specific Training and Placement Program,Chicago,IL,34
Access Living of Metropolitan Chicago,Mentoring,Chicago,IL,2
Catholic Charities of the Archdiocese of Chicago,Behavioral Health Support (At-Risk Youth),Chicago,IL,42
The Intonation Music Workshop,Out of School Time Programming - Summer Only,Chicago,IL,3
ElevArte Community Studio,Out of School Time Programming - Year Round,Chicago,IL,25
Mujeres Latinas En Accion,Out of School Time Programming - School Year Only,Chicago,IL,25
True Star Foundation,Out of School Time Programming - School Year Only,Chicago,IL,4
American Indian Center,Out of School Time Programming - Summer and School Breaks,Chicago,IL,47
Youth Outreach Services,Summer Youth Employment Program,Chicago,IL,29
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,CHA After School Program,Chicago,IL,27
Sinai Community Institute,One Summer Chicago +PLUS Program,Chicago,IL,28
Teamwork Englewood,Community Re-Entry Support Centers,Chicago,IL,20
Logan Square Neighborhood Association,Summer Youth Employment Program,Chicago,IL,35
"Free Spirit Media, NFP",Summer Youth Employment Program,Chicago,IL,27
Hispanic American Professional Services NFP,Behavioral Health Support (At-Risk Youth),Chicago,IL,26
Dominican University,Early Head Start Support Services,River Forest,IL,
Life Directions,Mentoring,Chicago,IL,28
"SGA Youth & Family Services, NFP",Behavioral Health Support (At-Risk Youth),Chicago,IL,12
"Central States SER, Jobs for Progress, Inc.",RISE,Chicago,IL,22
Phalanx Family Services,Mentoring,Chicago,IL,34
Chicago Urban League,Summer Youth Employment Program,Chicago,IL,3
Breakthrough Urban Ministries,Out of School Time Programming - Summer Only,Chicago,IL,28
Dime Child Foundation,Out of School Time Programming - Summer and School Breaks,Chicago,IL,20
The Catholic Bishop of Chicago - St. Sabina,RISE,Chicago,IL,17
Aspira Inc of Illinois,Summer Youth Employment Program,Chicago,IL,1
Marion Nzinga Stamps Youth Center,Out of School Time Programming - Year Round,Chicago,IL,27
Uhlich Children's Advantage Network dba UCAN,Behavioral Health Support (At-Risk Youth),Chicago,IL,24
Children's Home & Aid Society of Illinois,One Summer Chicago +PLUS Program,Chicago,IL,20
Cabrini Connections,Mentoring,Chicago,IL,27
Children's Home & Aid Society of Illinois,Out of School Time Programming - Year Round,Chicago,IL,16
Chicago Training Center,Out of School Time Programming - Year Round,Chicago,IL,15
Prevention Force Family Center,Out of School Time Programming - School Year Only,Chicago,IL,27
Jane Addams Resource Corporation,Industry-Specific Training and Placement Program,Chicago,IL,47
South Chicago Art Center NFP,Out of School Time Programming - School Year Only,Chicago,IL,10
Youth Guidance,Behavioral Health Support (At-Risk Youth),Chicago,IL,29
Block Club Federation,Out of School Time Programming - Year Round,Chicago,IL,30
La Rabida Children's Hospital,Behavioral Health Support (At-Risk Youth),Chicago,IL,8
Y M C A of Metropolitan Chicago,Intensive Youth Services,Chicago,IL,26
True To Life Foundation,Out of School Time Programming - School Year Only,Chicago,IL,8
Northwestern University Settlement Association,Out of School Time Programming - Summer Only,Chicago,IL,2
Local Initiative Support Corporation (LISC),Employment Preparation and Placement Program,Chicago,IL,24
Puerto Rican Arts Alliance,Out of School Time Programming - Year Round,Chicago,IL,26
"Asian Human Services, Inc.",Out of School Time Programming - School Year Only,Chicago,IL,50
Chicago Urban League,Greencorps Program,Chicago,IL,3
Street-Level Youth Media,Out of School Time Programming - Year Round,Chicago,IL,32
Bright Star Community Outreach Corporation,Out of School Time Programming - Year Round,Chicago,IL,4
K.L.E.O. Community Family Life Center,Out of School Time Programming - Year Round,Chicago,IL,20
Marion Nzinga Stamps Youth Center,CHA After School Program,Chicago,IL,27
"Central States SER, Jobs for Progress, Inc.",Intensive Youth Services,Chicago,IL,22
Vietnamese Association of Illinois,Out of School Time Programming - Year Round,Chicago,IL,47
"SGA Youth & Family Services, NFP",Youth Work Experience Program,Chicago,IL,49
Streetwise,Transitional Jobs Program,Chicago,IL,46
Universal Family Connection,Employment Preparation and Placement Program,Chicago,IL,34
Family Matters,Mentoring,Chicago,IL,49
Universal Family Connection,Behavioral Health Support (At-Risk Youth),Chicago,IL,34
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",Behavioral Health Support (At-Risk Youth),Chicago,IL,19
Institute for Latino Progress DBA Instituto Del Progreso Latino,Summer Youth Employment Program,Chicago,IL,25
The Catholic Bishop of Chicago - St. Agatha,Out of School Time Programming - Year Round,Chicago,IL,24
Polish American Association,Employment Preparation and Placement Program,Chicago,IL,45
"Chinese Mutual Aid Association, Inc.",Out of School Time Programming - Year Round,Chicago,IL,48
"Gary Comer Youth Center, Inc.",Out of School Time Programming - Year Round,Chicago,IL,5
The Catholic Bishop of Chicago - St. Sabina,Employment Preparation and Placement Program,Chicago,IL,17
Casa Central Social Services Corporation,Out of School Time Programming - Year Round,Chicago,IL,26
National Museum of Mexican Art,Out of School Time Programming - Summer Only,Chicago,IL,22
Roseland Youth Center,Out of School Time Programming - Year Round,Chicago,IL,9
Institute of Positive Education,Out of School Time Programming - School Year Only,Chicago,IL,8
B.U.I.L.D. INC,Out of School Time Programming - Year Round,Chicago,IL,1
Center of Higher Development,Out of School Time Programming - Year Round,Chicago,IL,10
The Miracle Center,Out of School Time Programming - Year Round,Chicago,IL,35
Metropolitan Family Services,Summer Youth Employment Program,Chicago,IL,42
"Youth Service Project, Inc.",Out of School Time Programming - Year Round,Chicago,IL,26
Erie Neighborhood House,Out of School Time Programming - Year Round,Chicago,IL,1
McDermott Center dba Haymarket Center,Transitional Jobs Program,Chicago,IL,27
Impact Family Center,CHA After School Program,Chicago,IL,34
Alternatives Inc.,One Summer Chicago +PLUS Program,Chicago,IL,46
"Girls in the Game, NFP",Out of School Time Programming - School Year Only,Chicago,IL,11
Community Assistance Programs,One Summer Chicago +PLUS Program,Chicago,IL,34
Centro Romero,Out of School Time Programming - Year Round,Chicago,IL,40
"SGA Youth & Family Services, NFP",JISC,Chicago,IL,14
Chicago Youth Centers,CHA After School Program,Chicago,IL,24
Mid-Austin Steering Committee,Out of School Time Programming - School Year Only,Chicago,IL,37
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,CHA After School Program,Chicago,IL,27
Institute for Latino Progress DBA Instituto Del Progreso Latino,Summer Youth Employment Program,Chicago,IL,25
Little Black Pearl Workshop,CHA After School Program,Chicago,IL,4
Catholic Youth Ministry Center at Morgan Park High School,Out of School Time Programming - School Year Only,Chicago,IL,19
Heartland Human Care Services Inc,Behavioral Health Support (At-Risk Youth),Chicago,IL,11
National Latino Education Institute,Employment Preparation and Placement Program,Chicago,IL,12
Chicago Youth Programs,Mentoring,Chicago,IL,3
Westside Health Authority,Transitional Jobs Program,Chicago,IL,29
Children's Home & Aid Society of Illinois,RISE,Chicago,IL,15
Big Brothers-Big Sisters of Metropolitan Chicago,Mentoring,Chicago,IL,42
Chicago Youth Programs,CHA After School Program,Chicago,IL,3
Phalanx Family Services,Greencorps Program,Chicago,IL,34
"Central States SER, Jobs for Progress, Inc.",Out of School Time Programming - Year Round,Chicago,IL,22
Primo Center For Women & Children,Behavioral Health Support (At-Risk Youth),Chicago,IL,29
Jewish Vocational Service,Employment Preparation and Placement Program,Chicago,IL,42
South Shore Drill Team & Performing Arts Ensemble,Out of School Time Programming - Year Round,Chicago,IL,5
Kuumba Lynx,Out of School Time Programming - Year Round,Chicago,IL,46
"Youth Advocate Program, Inc.",One Summer Chicago +PLUS Program,Chicago,IL,8
Universal Family Connection,Intensive Youth Services,Chicago,IL,18
"Gary Comer Youth Center, Inc.",Summer Youth Employment Program,Chicago,IL,5
The CARA Program,Transitional Jobs Program,Chicago,IL,42
The Chicago Lighthouse for People Who are Blind or Visually Impaired,Transitional Jobs Program,Chicago,IL,27
Divine Purpose Youth Performing Arts,Out of School Time Programming - School Year Only,Chicago,IL,28
"South Central Community Services, Inc.",Out of School Time Programming - Year Round,Chicago,IL,8
A Safe Haven Foundation,One Summer Chicago +PLUS Program,Chicago,IL,28
Family Matters,Out of School Time Programming - School Year Only,Chicago,IL,49
The Catholic Bishop of Chicago - St. Sabina,Out of School Time Programming - Year Round,Chicago,IL,17
B.U.I.L.D. INC,One Summer Chicago +PLUS Program,Chicago,IL,29
Holy Family Ministries,Out of School Time Programming - Year Round,Chicago,IL,24
Union League Boys & Girls Clubs,Out of School Time Programming - Year Round,Chicago,IL,25
North Lawndale Employment Network,Transitional Jobs Program,Chicago,IL,24
DMI Information Processing Center,Out of School Time Programming - Year Round,Chicago,IL,29
Heartland Human Care Services Inc,RISE,Chicago,IL,6
Institute for Latino Progress DBA Instituto Del Progreso Latino,Out of School Time Programming - Year Round,Chicago,IL,25
Polish American Association,Industry-Specific Training and Placement Program,Chicago,IL,45
A Safe Haven Foundation,Mentoring,Chicago,IL,28
The Salvation Army,Behavioral Health Support (At-Risk Youth),Chicago,IL,6
True To Life Foundation,Mentoring,Chicago,IL,8
Arthur D. Griffin Community Learning Center,Out of School Time Programming - Summer and School Breaks,Chicago,IL,27
Chicago Urban League,Intensive Youth Services,Chicago,IL,6
The Catholic Bishop of Chicago - St. Sabina,Summer Youth Employment Program,Chicago,IL,17
Korean American Resource and Cultural Center,Out of School Time Programming - Year Round,Chicago,IL,40
"SGA Youth & Family Services, NFP",Summer Youth Employment Program,Chicago,IL,14
St. Leonard's Ministries,Industry-Specific Training and Placement Program,Chicago,IL,27
Better Boys Foundation dba BBF family Services,Out of School Time Programming - Year Round,Chicago,IL,24
National Able Network,Transitional Jobs Program,Chicago,IL,42
Alternatives Inc.,Out of School Time Programming - Summer Only,Chicago,IL,46
Youth Guidance,CHA After School Program,Chicago,IL,9
Community Outreach Volunteers NFP,Out of School Time Programming - Summer Only,Chicago,IL,6
"Albany Park Community Center, Incorporated",Behavioral Health Support (At-Risk Youth),Chicago,IL,47
Penedo Charitable Organization,Mentoring,Chicago,IL,48
Hope Organization,Out of School Time Programming - Year Round,Chicago,IL,8
Bright Star Community Outreach Corporation,Summer Youth Employment Program,Chicago,IL,4
"Family Focus, Inc.",Out of School Time Programming - Year Round,Chicago,IL,35
I C.A.R.E. Ministries,Out of School Time Programming - School Year Only,Chicago,IL,37
Global Girls,Out of School Time Programming - Year Round,Chicago,IL,8
Chicago Child Care Society,Mentoring,Chicago,IL,5
M.E.T.R.O. Squash NFP,Out of School Time Programming - Year Round,Chicago,IL,5
The Catholic Bishop of Chicago - Holy Cross IHM Parish,Out of School Time Programming - Year Round,Chicago,IL,15
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,Out of School Time Programming - Summer and School Breaks,Chicago,IL,32
Neighborhood Boys & Girls Club,Out of School Time Programming - Year Round,Chicago,IL,47
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,CHA After School Program,Chicago,IL,34
Local Initiative Support Corporation (LISC),Employment Preparation and Placement Program,Chicago,IL,3
Project Exploration,Out of School Time Programming - School Year Only,Chicago,IL,4
Center of Higher Development,CHA After School Program,Chicago,IL,
Westside Health Authority,Community Re-Entry Support Centers,Chicago,IL,29
Center on Halsted,Behavioral Health Support (At-Risk Youth),Chicago,IL,44
Westside Health Authority,One Summer Chicago +PLUS Program,Chicago,IL,37
Swish Dreams Educational Foundation,Out of School Time Programming - Year Round,Chicago,IL,8
Lawndale Christian Legal Center,RISE,Chicago,IL,24
Dominican University,Head Start Support Services,River Forest,IL,
Connections Abused Women & Child,Interim Housing,,,
Circesteem Inc.,Out of School Time Programming - School Year Only,Chicago,IL,46
Little Black Pearl Workshop,Out of School Time Programming - Year Round,Chicago,IL,4
Carole Robertson Center for Learning,Out of School Time Programming - Year Round,Chicago,IL,24
B.U.I.L.D. INC,RISE,Chicago,IL,29
Phalanx Family Services,RISE,Chicago,IL,34
RefugeeOne,Out of School Time Programming - School Year Only,Chicago,IL,48
Enlace Chicago,Intensive Youth Services,Chicago,IL,22
Institute of Positive Education,Out-of-School Time – Year Round Program,Chicago,IL,17
"Central States SER, Jobs for Progress, Inc.",Youth Working for Success,Chicago,IL,22
Child Link Inc.,Behavioral Health Support (At-Risk Youth),Chicago,IL,28
The Catholic Bishop of Chicago - St. Sabina,One Summer Chicago +PLUS Program,Chicago,IL,17
Metropolitan Family Services,Out of School Time Programming - Year Round,Chicago,IL,23
Worldwide Family Center,Out of School Time Programming - Year Round,Chicago,IL,28
Chinese American Service League,Out of School Time Programming - Year Round,Chicago,IL,25
Universal Family Connection,Out of School Time Programming - Year Round,Chicago,IL,18
"Mikva Challenge Grant Foundation, Inc. dba Mikva Challenge",Out of School Time Programming - Year Round,Chicago,IL,42
Korean American Community Services,Employment Preparation and Placement Program,Chicago,IL,33
South Side Help Center,Out of School Time Programming - Year Round,Chicago,IL,34
Phalanx Family Services,Summer Youth Employment Program,Chicago,IL,34
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,Out of School Time Programming - School Year Only,Chicago,IL,12
Lawrence Hall Youth Services,RISE,Chicago,IL,49
"The Ethiopian Community Association of Chicago, Inc.",Employment Preparation and Placement Program,Chicago,IL,49
Fellowship Connection Inc.,Mentoring,Chicago,IL,26
"SGA Youth & Family Services, NFP",Intensive Youth Services,Chicago,IL,14
Lawrence Hall Youth Services,One Summer Chicago +PLUS Program,Chicago,IL,40
Charles A. Hayes Family Investment Center,Out of School Time Programming - Year Round,Chicago,IL,3
"Chicago Youth Boxing Club, Inc.",Out of School Time Programming - Year Round,Chicago,IL,22
Institute for Positive Living,CHA After School Program,Chicago,IL,4
